"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Labor force participation rate","Lao People's Democratic Republic","percent","...","79.9","79.7","79.4","...","66.5687","...","...","...","...","79.24","...","...","...","...","...","...","40.8","...","...","...","...","47.1","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","2001–2003: International Labor Organization. 2005, 2010, 2017, and 2022: Lao Statistics Bureau (formerly Department of Statistics).","For 2005: Figures are based on the 2005 Census of Population and Housing. For 2010: Figures are based on the 2010 Report on the National Child Labour Survey of the Lao People's Democratic Republic. For 2017: For 2017, figures are based on the 2017 Labour Force Survey conducted using the concepts defined in the 19th International Conference of Labour Statisticians and, hence, are not directly comparable with figures from the 2005 Census of Population and Housing and the 2010 Report on the National Child Labour Survey of the Lao People's Democratic Republic."
"Labor force participation rate","Malaysia","percent","65.4","64.9","64.4","65.2","64.4","63.3","63.1","63.2","62.6","62.9","63.7","64.5","65.6","67.3","67.6","67.9","67.7","68","68.3","68.7","68.438","68.6","69.3","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Department of Statistics","For 2019–2021: Recommendations from the 19th International Conference of Labour Statisticians were adopted. Data for these years may not be directly comparable with data in other years. The 19th conference provided the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit."
"Labor force participation rate","Myanmar","percent","...","...","...","...","...","65","...","...","...","...","67","...","...","...","67","64.7","...","61.2","61.5","63.2","...","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","2005 and 2010: Ministry of Planning and Finance. 2014–2015 and 2017–2018: Central Statistical Organization. 2019: Department of Population.","For 2014: Data are from the 2014 Myanmar Population and Housing Census. For 2014–2015 and 2017–2019: Data source covers the population 15 years and older. For 2015: Data are from the Myanmar Labour Force, Child Labour, and School to Work Transition Survey 2015. For 2017: Data are from the Myanmar Annual Labour Force Survey 2017. For 2018: Data are from the Myanmar Annual Labour Force Survey 2018. For 2019: Data are from the 2019 Inter-Censal Survey."
"Labor force participation rate","Philippines","percent","64.9","67.05379","67.4069","66.74824","67.48159","65.1","64.21253","64","63.6","64","64.1","64.6","64.2","63.9","64.6","63.7","63.5","61.2","60.9","61.26282058","59.50996","63.35","64.7","64.9","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Philippine Statistics Authority","For 2000–2004, 2006–2013, and 2016–2020: Data are based on household population of those aged 15 years and older, with past week as reference period. Data are average estimates of the results of the four rounds of the Labor Force Survey (LFS). For 2000–2005: Data are based on 1995 census-based population projections. For 2005: Annual data on labor force and labor force participation rate are averages of April, July, and October figures, in view of the adoption of a new definition. For 2005, 2014–2015, and 2021–2023: Data are based on household population of those aged 15 years and older, with past week as reference period. For 2006–2015: Data are based on 2000 census-based population projections. For 2014: The January round was not included as it results in a decline in the annual labor force due to very low data, as an aftermath of typhoon Yolanda in late 2013. For 2016: The estimates for January 2016 were derived using 2000 census-based population projections. Starting with the April 2016 LFS round, the population projection based on the 2010 CPH was adopted to generate labor force statistics. For 2017–2018: Based on the 2010 CPH population projections. For 2019–2023: Based on the 2015 CPH population projections. For 2021–2023: Starting 2021, the LFS was conducted monthly. Thus, annual estimates for 2021 and 2022 are based on the average results of the January to December LFS rounds."
"Labor force participation rate","Singapore","percent","63.2","64.4","63.6","63.2","63.3","63","65","65","65.6","65.4","66.2","66.1","66.6","66.7","67","68.3","68","67.7","67.7","68","68.1","70.5","70","68.6","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 30 June","","Ministry of Manpower","For 2000–2023: Refers to Singapore residents only and is based on the midyear Comprehensive Labour Force Survey, except Census year 2000, and the General Household Survey 2005. For 2007: Data were adjusted based on the latest revised population estimates from the Government of Singapore's Department of Statistics to facilitate comparisons with data for 2008 onward."
"Labor force participation rate","Thailand","percent","71.5236","71.85408","71.86009","72.2","72.39854","72.52575","72.17607","72.36953","72.63224","72.75279","72.28212","72.07158","71.82053","71.05224","70.33929","69.8","68.81225","68.08733842","68.29116051","67.48187138","67.8","67.8","68.06682944","68.64685277","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","","","National Statistical Office","For 2021: Includes the seasonally inactive labor force."
"Labor force participation rate","Timor-Leste","percent","...","56","...","...","60.2","...","...","...","...","...","24.01336728","...","...","30.63334769","...","...","46.85990338","...","...","...","...","30.5","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","2001: United Nations Development Programme. 2004, 2010, 2013, and 2016: National Statistics Directorate of Timor-Leste (Direccao Nacional De Estatistica). 2021: International Labor Organization.","For 2001 and 2004: International standards adopted for labor force data were in accordance with the 16th International Conference of Labour Statisticians (ICLS). For 2010, 2013, 2016, and 2021: International standards adopted are in accordance with the 19th International Conference of Labour Statisticians (ICLS)."
"Labor force participation rate","Viet Nam","percent","...","...","...","...","...","...","...","74.7","...","76.5","76.68481153","76.5519459","76.79468437","77.5511496","77.51230245","77.37313408","77.31757331","76.88026685","76.98380008","76.79769133","74.35642329","67.71178873","68","68.9","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 30 June","","General Statistics Office","For 2007 and 2009–2020: Data are based on the International Conference of Labor Statistics (ICLS 13) standards. For 2021–2023: Data are based on the International Conference of Labor Statistics (ICLS 19) standards."
"Labor force participation rate","The Pacific","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Labor force participation rate","Cook Islands","percent","...","69","...","...","...","...","70.2","...","...","...","...","70.9829","...","...","...","...","71.9","...","...","70.4","...","68.09","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Cook Islands Statistics Office",""
"Labor force participation rate","Fiji","percent","58.826","58.67","58.514","58.357","58.2","56.73","57.806","58.876","59.936","60.988","62.029","63.06","61.688","60.298","58.89","58.236","57.58","57.472","57.403","57.429","55.547","55.364","57.619","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","International Labor Organization","For 2000–2022: According to Fiji BOS, Labor Force and Employment data for 2020 and 2021 have not been finalized yet. The 2020 data is expected to be finalized by December 2022, while the 2021 data is expected to be finalized by April 2023."
"Labor force participation rate","Kiribati","percent","80.9","...","...","...","...","63.6","...","...","...","...","59.3","...","...","...","...","65.96558","...","...","...","...","53","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Kiribati National Statistics Office",""
"Labor force participation rate","Marshall Islands","percent","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","...","...","...","41.7","...","...","...","...","...","...","...","...","...","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 31 December","","Economic Policy, Planning and Statistics Office",""
"Labor force participation rate","Micronesia, Federated States of","percent","58.609562002632","...","...","...","...","...","...","...","...","...","57.3","...","...","...","56.89","...","...","...","...","...","...","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 31 December","","2000 and 2010: FSM Statistics Division. 2014: International Labor Organization.",""
"Labor force participation rate","Nauru","percent","...","...","76.71","...","...","...","...","...","...","...","...","64","...","68.69","...","...","...","...","...","63","...","67","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","","","2002 and 2013: International Labor Organization. 2011 and 2021: Nauru Bureau of Statistics (Ministry of Finance). 2019: The Pacific Community (SPC).","For 2002 and 2021: Data are from the ILO-STATISTICS database sourced from the Population Census of Nauru. For 2011: Data are from the Nauru 2011 Census. Data may not be directly comparable. For 2013: Data are from the ILO-STATISTICS database sourced from the Household Income and Expenditure Survey of Nauru."
"Labor force participation rate","Niue","percent","...","78.7","...","...","...","...","78","...","...","...","...","68.9","...","...","...","...","...","68.6","...","...","...","...","70.7","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Niue Statistics Office",""
"Labor force participation rate","Palau","percent","67.5","...","...","...","...","69.1","...","...","...","...","...","...","68.06922","...","...","77.35658","...","...","...","...","76.9","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Bureau of Budget and Planning (formerly Office of Planning and Statistics)","For 2000, 2005, 2012, 2015, and 2020: Refers to persons aged 16 years and older, classified as employed or unemployed."
"Labor force participation rate","Papua New Guinea","percent","72.47","70.359","68.158","65.872","63.51","61.081","58.596","56.067","53.505","50.925","48.34","48.382","48.288","48.222","47.823","47.664","47.544","47.492","47.572","47.439","46.989","46.75","47.493","47.286","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","International Labor Organization","For 2000–2023: Based on ILO modelled estimates, November 2023 edition."
"Labor force participation rate","Samoa","percent","...","50.5567","...","...","...","...","49.75684","...","...","...","...","41.33736","32.2","...","...","...","47.43398","43.3","...","...","...","43.4","43.8","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","","","Samoa Bureau of Statistics (formerly Statistical Services Division)",""
"Labor force participation rate","Solomon Islands","percent","...","...","...","...","...","...","...","...","...","62.9","...","...","...","...","...","...","...","...","...","55.43577288","...","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","National Statistics Office",""
"Labor force participation rate","Tonga","percent","...","...","...","94.81481","...","...","...","...","...","...","...","...","...","...","...","...","63.7","...","46.7","...","...","48.5","...","44.68039285","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","","","Tonga Department of Statistics (formerly Tonga Statistics Department)","For 2003, 2016, 2018, 2021, and 2023: From labor force sample survey."
"Labor force participation rate","Tuvalu","percent","...","...","58.2","...","...","...","...","...","...","...","...","...","59.4","...","...","...","52.3","...","...","...","...","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 31 December","","Secretariat of the Pacific Community",""
"Labor force participation rate","Vanuatu","percent","69.3","69.5","69.9","69.8","69.8","69.6","69.4","69.4","69.2","69.2","69.2","69.2","69.3","69.4","69.4","69.5","69.4","69.3","69.2","69.2","68.5","68.8","69.4","69.5","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","International Labor Organization","For 2000–2023: Data refer to International Labour Organization estimates."
"Labor force participation rate","Developed ADB Member Economies","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Labor force participation rate","Australia","percent","63.13742803","63.29769613","63.36342385","63.58651761","63.45887246","64.39708198","64.75508994","65.17488544","65.48072998","65.43177995","65.3897517","65.41994465","65.15233218","64.93966549","64.70350261","64.99595144","64.83304137","65.0291344","65.44477574","65.78956888","64.73297426","65.56456416","66.37756024","66.6632455","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 31 December","","Australian Bureau of Statistics",""
"Labor force participation rate","Japan","percent","62.4","62","61.2","60.8","60.4","60.4","60.4","60.4","60.2","59.9","59.6","59.3","59.1","59.3","59.4","59.6","60","60.5","61.5","62.1","62","62.1","62.5","62.9","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Statistics Bureau of Japan",""
"Labor force participation rate","New Zealand","percent","65.2","65.8","66.5","66.3","66.9","67.7","68.2","68.4","68.3","67.9","67.6","67.9","67.6","67.8","68.7","68.8","70","70.9","70.9","70.5","70.2","70.8","71.3","72.1","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Stats NZ Tatauranga Aotearoa",""
